stratum,target_id,is_planted_ground_truth,stage1_stat,stage1_pass,stage2_attempted,permutation_p,detection_floor,channel_statistic,clears_floor,stage3_survivor,stage4_attempted,stage4_statistic,stage4_p,stage4_replicated
BRCA,SYNTH_TARGET_000,False,0.18515608671907588,True,True,0.16129032258064516,0.15,-0.0819872166480683,False,False,False,,,False
BRCA,SYNTH_TARGET_001,False,0.16041373171315043,True,True,0.9354838709677419,0.15,-0.017289942654611035,False,False,False,,,False
BRCA,SYNTH_TARGET_002,False,0.18937850400267947,True,True,0.8709677419354839,0.2,-0.0005014990727769185,False,False,False,,,False
BRCA,SYNTH_TARGET_003,False,0.2884569786214122,True,True,0.3548387096774194,0.2,0.08434627010912464,False,False,False,,,False
BRCA,SYNTH_TARGET_004,False,0.12712184629051188,True,True,0.3548387096774194,0.1,-0.05880080033830869,False,False,False,,,False
BRCA,SYNTH_TARGET_005,False,0.16641011856786225,True,True,0.8709677419354839,0.15,-0.1117900834119572,False,False,False,,,False
BRCA,SYNTH_TARGET_006,False,0.2098015212151631,True,True,0.5161290322580645,0.2,-0.024263803316454214,False,False,False,,,False
BRCA,SYNTH_TARGET_007,False,0.09710804044197595,False,False,,,,,False,False,,,False
BRCA,SYNTH_TARGET_008,False,0.33189374736882726,True,True,0.16129032258064516,0.2,-0.11140607549489905,False,False,False,,,False
BRCA,SYNTH_TARGET_009,False,0.20460940090042362,True,True,0.8064516129032258,0.15,-0.17477236909603916,True,False,False,,,False
BRCA,SYNTH_TARGET_010,False,0.19000656659304363,True,True,0.7096774193548387,0.1,-0.1768904561878826,True,False,False,,,False
BRCA,SYNTH_TARGET_011,False,0.30945283968347387,True,True,0.6129032258064516,0.15,0.011458633029757671,False,False,False,,,False
BRCA,SYNTH_TARGET_012,False,0.2934053593112939,True,True,0.6451612903225806,0.3,-0.09515961382392396,False,False,False,,,False
BRCA,SYNTH_TARGET_013,False,0.18422100297778782,True,True,0.25806451612903225,0.15,0.031139213361199514,False,False,False,,,False
BRCA,SYNTH_TARGET_014,False,0.20197228936833037,True,True,0.22580645161290322,0.2,-0.0122441250138926,False,False,False,,,False
BRCA,SYNTH_TARGET_015,False,0.15567701357860625,True,True,0.8387096774193549,0.15,-0.04059647834447516,False,False,False,,,False
BRCA,SYNTH_TARGET_016,True,0.12283329400824036,False,False,,,,,False,False,,,False
BRCA,SYNTH_TARGET_017,True,0.3103463218133423,True,True,0.8064516129032258,0.2,0.16194383470933027,False,False,False,,,False
BRCA,SYNTH_TARGET_018,False,0.20196326498824,True,True,0.6129032258064516,0.15,-0.14689640471758988,False,False,False,,,False
BRCA,SYNTH_TARGET_019,False,0.17704890265888526,True,True,0.9032258064516129,0.1,0.10001500112523484,True,False,False,,,False
BRCA,SYNTH_TARGET_020,False,0.1346108386972173,True,True,0.6129032258064516,0.15,0.11032771432444244,False,False,False,,,False
BRCA,SYNTH_TARGET_021,False,0.14929941218620363,True,True,0.4838709677419355,0.15,-0.11475844273662456,False,False,False,,,False
BRCA,SYNTH_TARGET_022,False,0.14960848932244752,True,True,0.12903225806451613,0.2,0.09434340076668654,False,False,False,,,False
BRCA,SYNTH_TARGET_023,False,0.22330419102582233,True,True,0.22580645161290322,0.15,0.019777939628667134,False,False,False,,,False
